Element,1,Category,Abbreviation,Group,Period,Atomic_Number,u,K,rou,atomic_radius_calculated,van_der_waals_radius,electrical_resistivity,velocity_of_sound,reflectivity,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,mineral_hardness,vickers_hardness,density_of_solid,coefficient_of_linear_thermal_expansion,ground_level,ionization_energies
Actinium,"[-0.020403504, -0.007603216, 0.0075864187, -0.063390896, 0.0073367986, -4.9738384e-05, 0.0009902843, -0.021591676, 0.015453628, 0.032409202, -0.013604531, -0.013107603, 0.003570832, -0.0024804587, 0.12694575, -0.0002823826, -0.03127468, 0.01881003, 0.012855877, -0.016853096, -0.003773606, 0.02270337, -0.0035158396, -0.017112993, -0.013719154, -0.0046369727, 0.028623573, 0.015926544, 0.0465874, -0.0005631711, -0.013463197, 0.009749487, 0.022317126, 0.012958331, 0.012449598, 0.021312213, 0.023917794, -0.014332458, 0.0021283526, -0.014305989, -0.0067577558, 0.031775333, 0.005911964, -0.021163786, -0.0060677724, 0.004548518, 0.006811803, -0.011795714, -0.014518063, 0.02122567, 0.004475149, 0.009077875, 0.00059079984, -0.16415645, -0.004033783, 0.01220125, 0.005953558, 0.010591863, 0.03531753, 0.005477939, -0.0069285952, 0.06467835, 0.0023445715, -0.032421917, -0.0032949066, -0.014905023, 0.023468722, 0.007828441, -0.012858383, -0.007821058, -0.029777858, 0.016565384, -0.0067845043, 0.010393215, 0.0015230326, -0.02530209, 0.0061498024, 0.01515662, -0.024205437, 0.0072679496, -0.0051015313, -0.041354544, -0.020626033, 0.013309209, -0.0062127747, -0.041322775, -0.00985271, -0.026001038, 0.0059922677, -0.0058989557, 0.024558747, 0.016178757, 0.0023865898, 0.0043838173, -0.01365757, 0.014073461, 0.0074677137, 0.00741144, -0.041142132, -0.01041889, -0.0007854099, -0.02887337, -0.009896909, 0.0070992396, -0.02172564, -0.029615676, -0.0012157304, -0.0025390822, -0.00023692852, 0.0005131579, -0.0042814696, -0.003681586, -0.0021782822, -0.010700384, 0.033792134, -0.16038792, -0.0044312705, -0.022425698, -0.011505706, -0.004594592, -0.0017916061, 0.022366056, -0.027294433, 0.0069367825, -0.02030542, -0.0058383355, -0.0025874698, 0.019588761, -0.014299903, 0.03145008, 0.0041947626, 0.025944386, -0.019350866, 0.022706505, 0.008559954, -0.004176278, -0.02541842, 0.008138422, 0.0060300925, -0.013819955, -0.011238845, -0.007822708, 0.019863313, 0.0060792165, -0.04822551, -0.012694917, -0.008195765, 0.025758883, 0.010872826, -0.038510766, -0.013577014, -0.0071032965, -0.01997608, 0.021968026, 0.011563769, -0.00843339, 0.011052414, 0.021576738, 0.00067283266, -0.0065144487, 0.0013358794, 0.027431155, -0.004858163, 0.00012431756, 0.0076855775, -0.007337573, -0.021422714, -0.020099195, 0.004603242, 0.0128454445, -0.019264763, 0.004851222, -0.00019715844, 0.016535845, 0.020577183, 0.005205287, 0.0073457956, 0.0016043683, 0.020298723, 0.0075734197, 0.00044500935, -0.0007720339, -0.03173455, 0.00834153, 0.01841326, -0.02089566, 0.008148667, -0.00082821056, 0.0021893294, -0.0019956282, 0.011846824, -0.0013336126, -0.034663793, -0.019380907, -0.00633461, 0.031891182, -0.025524305, 0.015535138, 0.0244642, 0.016721003, 0.010895303, 0.0097109275, 0.033129245, -0.0110168895, 0.014242675, 0.036410164, 0.012690659, -0.032499626, 0.0045704604, 0.022514382, 0.030458864, -0.01389553, 0.0048561837, 0.009307543, -0.024842747, -0.007206319, -0.024549205, 0.018242592, -0.01049833, 0.0070860027, 0.009268322, -0.01977311, 0.007727987, -0.0036360135, 0.008788005, -0.013422625, 0.008816974, -0.016293239, 0.012340449, -0.0139290495, 0.013075248, 0.0074295187, -0.017090123, 0.014024067, -0.013922179, 0.010717517, -0.0038746537, -0.015144989, -0.0015823446, -0.016886335, 0.019658037, 0.006539629, -0.0131957065, 0.010823553, 0.032085333, -0.028560715, 0.018111343, 0.0060276417, -0.015367573, 0.016960114, -0.007477933, 0.005576309, 0.0051570022, -0.005584644, -0.015419741, -0.0014762518, 0.0045144893, 0.00888287, -0.022989392, 0.017926313, 0.023259565, -0.0025735707, 0.020414585, -0.035835337, -0.008704261, -0.021447908, -0.009427503, 0.0067528426, -0.01601973, 0.025978403, 0.006983094, 0.018962387, -0.010808688, -0.023918886, -0.020567462, -0.011990732, -0.06266918, 0.0054554725, -0.0018824585, -0.0127033, 0.01448463, -0.015080808, -0.0019276612, -0.025410013, -0.0017239169, -0.0008154471, -0.028156223, 0.024169918, 0.03786451, -0.0059497976, 0.0035904674, -0.034079496, 0.01787736, -0.017459966, -0.00137157, -0.023961928, 0.008036155, -0.028578917, -0.030366173, 0.0074013975, 0.016481211, -0.0027361128, 0.0045266645, 0.053520713, -0.0002960568, 0.0016298884, -0.021332286, 0.051931355, 0.008061818, 0.0004856729, 0.007573064, 0.012062315, 0.0018150292, -0.0064808303, 0.004541162, -0.01597863, 0.021009205, 0.019136736, 0.014349121, -0.008816527, 0.018145751, -0.010064212, -0.0032171586, 0.004991407, -0.027786862, -0.011839694, -0.003710629, 0.0023861015, 0.018636407, 0.031257868, 0.01679666, -0.0258638, 0.034020524, 0.003922159, 0.016321197, -0.015007727, -0.003753309, 0.005036628, -0.0028126119, -0.0094543, -0.0132217, 0.018169058, -0.015126378, -0.005844419, 0.00464557, -0.0029096375, -0.00017345815, -0.009058775, 0.00057670905, 0.018824363, -0.0028441623, 0.0004267497, -0.030902067, -0.00293293, 0.0008757289, -0.016297663, -0.011365928, -0.02184988, -0.0031641244, 0.007782684, -0.0067273313, 0.0050289957, 0.030046856, -0.025604617, 0.00889339, -0.025901048, -0.018777065, 0.006014215, -0.01448835, -0.00848, -0.0024817744, 0.029595625, 0.004108984, 0.00893222, -0.011319559, 0.0023860405, -0.014854064, 0.01391861, 0.007891211, 0.013821398, -0.012745564, -0.0077411714, -0.03924977, -0.010114419, 0.0021493598, 0.017638676, -0.026424525, -0.017023185, -0.013251903, 0.01224541, -0.02565391, 0.0003140784, -0.008320707, 0.017474754, -0.018567218, -0.011498234, 0.03680554, 0.0021589557, -0.029662697, -0.0007646619, 0.0020192114, 0.024377715, -0.018594105, -0.004677697, -0.017414154, 0.0086436365, 0.025029898, -0.02988097, 0.0067220386, -0.0072311754, 0.009682376, 0.01386759, 0.026377358, 0.007937528, -0.0033594829, -0.0049994574, 0.0004088885, 0.0015631387, 0.025037263, 0.01408665, 0.014918027, 0.014104841, -0.00348016, -0.03162945, 0.003361368, -0.026465843, 0.022020498, -0.008969486, -0.004660289, 0.004302476, -0.00011096363, -0.0050820257, -0.019338705, -0.015756622, -0.012925313, -0.019558884, -0.017780785, -0.007824868, -0.017508818, 0.027241873, 0.00012599048, -0.006237039, 0.0034033137, 0.024295175, 0.006420931, 0.008039839, -0.037766412, -0.016148666, 0.009152289, 0.00636257, -0.020944133, 0.0105000725, -0.0039556087, -0.009229688, -0.0022279546, -0.004527194, -0.0006329766, -0.008217568, -0.009055112, 0.028849427, -0.018360734, -0.012597257, -0.006248005, 0.009829051, 0.0059784297, -0.013756126, -0.00014451907, -0.012819764, 0.011495861, 0.00093697774, -0.0068776323, -0.004110593, -0.0074209995, 0.0062611615, 0.00016553776, 0.021984158, 0.00649277, -0.02663628, -0.008564868, 0.01509669, -0.0023556016, -0.023226522, -0.016695175, -0.014108452, 0.018518107, 0.004837199, -0.0065045175, 0.02545243, 0.004254263, 0.005429394, 0.004197508, 0.012467157, -0.011682978, 0.0074938736, -0.02280939, -0.0020410246, -0.004418016, 0.0026409416, 0.031953596, 0.01571683, 0.015140981, -0.0152484, 0.025384473, -0.0018506191, 0.012707314, -0.0022810835, 0.003219375, -0.026947128, -0.009954321, -0.0154203335, 0.002499862, 0.0071087563, -0.022177178, -0.00087133877, -0.037601363, 0.008727716, -0.013344927, 0.00031635066, -0.002761737, 0.003960435, 0.028400764, 0.0025359916, 0.011377197, -0.008636336, -0.009141097, -0.021887105, 0.03083233, -0.0063179936, 0.025241336, 0.017579492, 0.014151892, 0.005380016, 0.0051052095, -0.0184063, -0.010596126, 0.031118456, -0.003994913, 0.00842301, 0.03330595, 0.022562431, 0.00053425797, -0.0096881855, -0.031875987, 0.009659854, -0.0020008625, -0.095656544, 0.011559643, 0.012158845, 0.007977138, -0.018868038, -0.016478505, -0.04218497, -0.021392697, 0.01121936, -0.0057430984, -0.011670166, -0.021910297, 0.0018313294, -0.001919354, -0.0054489644, 0.0067734765, -0.0012911579, 0.010878508, -0.02496818, -0.012539152, 0.028751852, -0.020918688, -0.010581479, 0.036217038, -0.02610701, -0.004677369, 0.016081661, 0.023569016, 0.0076499227, -0.000739669, 0.0066379434, -0.011323253, -0.013715783, -0.006158896, -0.0015802023, -0.020071873, 0.022331659, -0.0075568864, 0.030512737, 0.025333233, -0.01051442, 0.012437133, -0.018031921, -0.008803365, 0.01530445, -0.003928436, 0.010060591, -0.040388335, 0.008599539, 0.0045666923, -0.0016878553, 0.0008502225, 0.013097889, 0.0060134083, -0.001798182, 0.002841129, -0.025620598, 0.0025393234, -0.04074789, 0.0059279795, 0.006987504, 0.005193566, -0.028437283, -0.0043892753, 0.017257195, 0.0075839795, -0.025705287, 0.031537797, -0.0022560945, -0.0038291875, -0.009336676, 0.015171917, 0.0049841935, -0.0035381129, -0.022915065, -0.0067289015, -0.00022663982, 0.016684799, -0.011587295, 0.008304618, -0.017866347, -0.0048207645, -0.114225, -0.023640214, -0.008798232, -0.008585814, 0.0061368, -0.010963708, -0.024952102, -0.026889281, 0.006385542, -0.013362926, 0.017705837, 0.0018190759, -0.0004695138, 0.0005494258, -0.018427962, -0.0025740666, 0.02424344, -0.011332612, -0.005277582, 0.010328551, 0.0009898493, 0.01576052, 0.014968705, 0.022396412, -0.020361932, -0.009272349, -0.023757096, -0.006463577, 0.029661044, -0.0015050959, -0.011954217, -0.12902883, -0.021143729, -0.017093783, 0.00922087, 0.012951676, -0.024065996, 0.0058942274, -0.002422005, -0.0015801277, -0.006466301, -0.006312465, -0.0025186033, -0.011503765, 0.011231695, 0.010510857, 0.119900584, -0.020395663, -0.028900195, 0.0011762816, -0.038353086, 0.01909944, -0.0021953469, -0.0042910823, -0.016074933, -0.005924313, 0.0031451278, 0.010698253, 0.014835733, -0.038184095, -0.002271815, -0.022153525, 0.03947315, -0.02415505, -0.027826482, 0.0103008, -0.002082285, 0.00046922913, 0.001909299, 0.014596767, 0.008694092, -0.0065475055, 0.0015118005, 0.0044678287, -0.003484936, -0.0041749026, 0.0026038126, 0.029799864, -0.017696362, -0.022519777, -0.0018835583, -0.025501804, -0.049449716, -0.0156222945, -0.006415273, 0.014230542, -0.0009133103, -0.020721093, 0.032656625, -0.013508717, -0.026022037, 0.0054597524, -0.0016542237, 0.013276558, 0.019265365, -0.029151998, -0.010257503, 0.032736655, -0.00077619386, 0.025901578, 0.004473046, 0.013315423, 0.023181394, -0.0015804132, -0.009574157, 0.007856236, 0.0003400852, -0.02765231, -0.0017893297, 0.0037998026, -0.008075175, -0.013898704, 0.0070419395, -0.01115001, -0.02197622, 0.010640366, -0.0013195591, -0.011890217, -0.011694841, -0.026446009, -0.008338824, 0.013803048, 0.012847139, 0.005658293, 0.01480761, 0.010940713, -0.0067793033, -0.0039165225, -0.029689671, 0.018195385, -0.008255688, -0.009103346, -0.009447863, 0.013604421, 0.0069461023, -0.009134395, 0.029876333, 0.019174749, -0.013706724, 0.03289822, 0.028727237]",Actinide,Ac,3,7,89,227.0,1323.0,10.07,,2.47,,,,22.55,12.0,3573.0,1323.0,,,,,,,,,10070.0,,2D3/2,"[5.380226, 11.75, 17.431, 44.8, 55.0, 67.0, 79.0, 98.9, 113.9, 143.9, 161.1, 233.0, 255.0, 279.0, 305.0, 330.0, 355.0, 390.0, 416.0, 444.0, 470.0, 610.0, 640.0, 670.0, 710.0, 780.0, 820.0, 920.0, 950.0, 1030.0, 1100.0, 1170.0, 1240.0, 1310.0, 1380.0, 1460.0, 1530.0, 1610.0, 1680.0, 1750.0, 1820.0, 1900.0, 1970.0, 2298.0, 2362.0, 2430.0, 2503.0, 2572.0, 2639.0, 2762.0, 2833.0, 2908.0, 2980.0, 3264.0, 3334.0, 3409.0, 3479.0, 3811.0, 3893.0, 4093.0, 4175.0, 6767.0, 6923.0, 7088.0, 7265.0, 7430.0, 7600.0, 7950.0, 8120.0, 8310.0, 8480.0, 8970.0, 9120.0, 9290.0, 9440.0, 10480.0, 10660.0, 11030.0, 11200.0, 23480.0, 23890.0, 24340.0, 24760.0, 28610.0, 29160.0, 29850.0, 30293.1, 119938.6, 122062.9]"
Aluminium,"[-0.010235928, -0.0048941043, 0.0044913203, -0.05523603, 0.023855288, 0.005644746, -0.0012982974, -0.0019346152, 0.010139816, 0.024928877, -0.023202404, -0.0004344003, 0.003411634, -0.00094338186, 0.13639204, 0.0023504554, -0.02376888, 0.011662724, -0.0032231365, -0.023021458, -0.0007584484, 0.020880658, 0.0018877198, -0.014938697, -0.0056179226, -0.00254159, 0.0070616785, -0.0008083552, 0.039222397, -0.011862505, 0.028500242, 0.032254305, 0.014005812, 0.020219056, 0.021882711, 0.025887096, 0.009726281, -0.007890289, 0.01444497, 0.003983852, -0.0070556775, 0.034055106, 0.018584823, 0.0015061643, -0.0014435219, 0.012079398, 0.036736723, -0.0046456256, -0.013757488, 0.0102077965, -0.009546627, 0.014775077, -0.0033537948, -0.17347835, -0.01695739, 0.006526774, -0.018950438, 0.010123557, 0.03500357, 0.002545111, 0.0023433785, 0.032269515, -0.009011425, -0.002449434, 0.009033263, -0.007247334, 0.009209968, 0.0134769725, -0.0017700029, 0.00016900737, -0.014094076, 0.015180581, -0.01913854, -0.0023654008, 0.007115162, -0.017799824, -0.0040643644, 0.0036695777, -0.013104491, 0.018160941, -0.014436292, -0.020946462, -0.025895253, 0.006807058, 0.005139773, -0.0087392125, -0.022041412, -0.01627724, -0.009668203, 0.029407244, 0.01795585, 0.01825051, 0.011774392, 0.009212271, -0.0075246226, 0.026117075, 0.001851536, -0.007375502, -0.04569839, 0.0014810656, -0.008972751, -0.02586694, 0.0013075384, 0.00430991, -0.022995869, -0.030885661, 0.004185823, -0.015136872, -0.0040519307, 0.01731206, 0.008862149, 0.012216345, 0.018993225, 0.010964648, 0.021531798, -0.161001, 0.009367309, 0.00670516, -0.008553264, -0.016103014, -0.011738114, -0.005894817, -0.022934001, 0.020534223, -0.011250577, 0.010677916, 0.0050693834, 0.01882378, -0.017930845, 0.008363206, 0.002052902, -0.014533769, -0.006091406, 0.032350887, 0.020227153, -0.0071564903, -0.0023639032, 0.007732251, 0.0026739577, -0.01075874, -0.010511512, 0.0023874787, 0.027020233, -0.00020011107, -0.019202035, 0.0040616933, -0.009794999, 0.023865767, 0.022483118, -0.013215449, -0.010080192, -0.03382695, -0.007957965, 0.030623462, -0.006023649, -0.0062858523, -0.015354278, 0.015492485, 0.009790516, -0.009995424, -0.0044954536, -0.012325309, -0.020584017, 0.0038948045, -0.031480346, -0.0033630026, 0.0038196899, -0.018520858, 0.0041741766, 0.015763758, -0.003149926, 0.0033918077, 0.0060628485, 0.009570466, 0.006192986, 0.02089173, 0.027726423, 0.017047467, 0.035412826, 0.007874589, 0.017201714, -0.009239741, -0.023833262, -0.013000371, 0.00510716, -0.0033041404, 0.011401391, -0.02111662, 0.023476982, -0.0017231539, 0.01392542, -0.0018371795, -0.01824503, -0.03743297, 0.008587876, 0.02403711, 0.011949972, 0.026793191, 0.022105288, 0.029550917, 0.015726186, 0.003815458, 0.021911656, -0.03718651, 0.031329826, 0.014668452, 0.0060638348, -0.028997364, -0.0010858233, 0.0121288635, 0.030156726, -0.007137092, -0.0015376685, 0.019186292, -0.007062109, -0.0039326604, -0.008123213, 0.03284527, -0.008150492, 0.0116836615, -0.00076110294, -0.032304976, 0.018514901, -0.01756024, 0.010876491, -9.553716e-05, 0.029176543, -0.004899143, -0.015401969, -0.004266901, 0.03198373, 0.0090494305, -0.0032810438, 0.007893832, -0.021554656, 0.0108162025, -0.0080029005, 0.00035995376, -0.0038726465, -0.0011099833, 0.019873504, -0.0030422395, 0.010087873, 0.025329135, 0.0220223, -0.018103948, 0.015103064, 0.012967805, -0.015166218, 0.011850256, -0.0078537455, -0.024810053, 0.029377436, 0.0072616455, -0.0010909456, 0.011211413, -0.00417152, 0.0034556477, -0.01125162, 0.020787872, 0.0069701145, -0.006674431, 0.0067254324, -0.028146116, 0.00835182, -0.022510935, -0.0022446248, 0.0043559433, -0.008612725, 0.028552057, -0.0028745767, 0.010301286, -0.010036426, -0.026789827, -0.01087122, -0.016198494, -0.061046425, 0.025257535, -0.015865892, -0.007182399, 0.017481979, 0.007280255, -0.002205594, -0.025685843, -0.021595405, -0.013140365, -0.0015127496, 0.018449482, 0.017989665, 0.0019346786, 0.011171868, -0.01935111, -0.0010812241, -0.012699167, -0.00057008356, -0.0136857405, -0.009275394, -0.023907509, -0.016662957, 0.026523866, 0.006840821, -0.0061834124, 0.01401302, 0.07324859, 0.004990242, 0.020015743, -0.025720304, 0.016725853, 0.0067970366, -0.0025854055, 0.002880228, 0.02620489, 0.0011809091, -0.009619117, -0.004872412, -0.03109223, 0.007832175, 0.015120469, -0.017844038, -0.023597836, -0.00056112546, 0.00256258, -0.0027021782, 0.018874045, -0.02334277, -0.023533365, -0.025557747, -0.0038383976, 0.017858049, 0.023121031, 0.040730707, -0.026505306, 0.011081341, -0.002927614, -0.0040078643, -0.010338671, 0.011882585, 0.021225443, -0.023899285, -0.0137779005, -0.010511601, -0.01279497, 0.004123513, -0.0071721254, 0.010727879, 0.030723745, -0.012186594, -0.002913913, -0.017835543, 0.0021539168, 0.0016101206, 0.011690555, -0.016382303, -0.018552972, 0.021700848, -0.01479061, -0.016470576, -0.01094449, -0.011456398, -0.0035965685, -0.004146192, -0.007726044, 0.019117301, -0.019151067, -0.0046375254, 0.0010893553, -0.0030521525, 0.0041331165, -0.023062607, 0.008560916, 0.010632944, 0.018281195, 0.020136787, 0.0088644745, -0.023149144, -0.0034450951, -0.00081921404, 0.016833456, 0.008863613, 0.025983315, -0.003713577, 0.0010445883, -0.007910465, -0.015295914, -0.007148334, 0.0184557, -0.01998844, 0.008370054, -0.014375976, 0.010203619, 0.006259116, -0.011766904, -0.024673255, 0.008761235, -0.022953713, -0.033087716, -0.011396428, -0.0058080666, -0.041436687, 0.0047893627, 0.0067511173, 0.0096100485, -0.025332157, 0.007946773, -0.002826422, 0.0010762366, 0.040631957, 0.012316666, 0.015038983, -0.003212131, -0.024199272, 0.0009809593, 0.039738283, -0.0019561897, -0.008057566, 0.02140461, -0.0014537653, 0.011480881, 0.01481695, -0.009218984, 0.016156882, -0.0012969502, -0.0008412332, -0.010273607, 0.002018924, -0.025726022, -0.007948388, 0.0069012195, 0.009396245, -0.020765983, -0.018017616, -0.008547877, -0.017063472, -0.026817372, -0.014153442, 0.0033369118, -0.016738182, -0.0059839296, -0.034285534, 0.018528175, 0.0015870956, -0.026718765, 0.020972202, 0.011329554, 0.022699175, -0.0004366999, -0.031191597, -0.017466698, 0.01601025, 0.016272673, -0.02531659, 0.0038211853, -0.0031187613, -0.0067289565, -0.008633798, -0.0038126786, -0.013561298, 0.009899387, 0.00035168167, 0.03223504, -0.02484151, -0.014062548, -0.0067023537, -0.0019036384, -0.01091737, -0.0005967449, 0.004805822, -0.0010139096, 0.0004647022, -0.00456276, 0.0050743977, -0.022869732, -0.022213334, 0.0027155324, 0.0066349492, 0.022399392, -0.015113112, -0.021178396, -0.0029825035, 0.031754628, -0.0134531185, -0.009350965, -0.02760871, 0.006193316, 0.010386647, 0.013571221, -0.008959076, 0.016619842, 0.0078388965, 0.019605046, -0.0013947148, 0.016669028, -0.018881835, 0.01514813, -0.019685771, 0.0041602557, 0.0005756723, 0.00026723774, 0.042505454, 0.0021239948, -0.015587912, -0.014561101, 0.010663624, -0.008214402, 0.020596629, 0.0035131427, 0.011690864, -0.030338332, -0.014789234, 0.037546217, -0.0057499013, 0.029758973, -0.015737396, 0.022597, -0.0013405094, 0.0010166003, -0.014163613, -0.004615964, -0.0093317265, 0.005817092, 0.038867865, 0.0007020107, -0.0005846994, 0.0069997753, -0.028124623, -0.010915176, 0.020804387, 0.0029149912, 0.02588301, 0.031218875, 0.02197728, -0.00118804, -0.017426288, -0.016575044, 0.0016875272, 0.029867629, 0.015689764, 0.004268516, 0.025416559, 0.017809028, 0.023067724, -0.021534314, -0.019709568, -0.008500231, 0.003031545, -0.105880335, -0.01211297, 0.028223906, -0.012857255, -0.035127014, -0.00753378, -0.0068872245, -0.017207498, 0.008650704, 0.0022936848, 0.0061027654, -0.0012577605, -0.014356899, 0.0020421257, 0.01817823, 0.024623863, -0.010146573, 0.01228924, -0.0009903685, 0.00411655, 0.009438273, -0.0025630419, -0.017666863, 0.023106318, -0.024646543, -0.004798147, 0.024176778, 0.0041385028, 0.028496487, 0.01642649, 7.5026164e-06, -0.026461728, -0.005959074, 0.018829925, -0.0066499705, -0.030937664, 0.009784643, 0.00016184547, 0.024943074, 0.033147596, -0.0023770258, 0.021924423, -0.003973472, -0.0014610506, 0.008358684, 0.025998091, 0.0129723735, -0.043123934, 0.00045080448, 0.016156513, 0.014913015, 0.01364439, 0.0058251927, -0.012558736, 0.018938456, -0.015486079, 0.0025358968, -0.0027634236, -0.021039596, -0.010834525, 0.0016307891, 0.011161323, -0.02827697, 0.015048444, 0.027223947, -0.013757004, 0.00076128717, 0.0056439005, 0.032716557, 0.008785646, -0.015758844, 0.02479139, 0.007874044, 0.006527026, -0.020704446, 0.0033306333, -0.013252619, 0.006921353, -0.0022434825, -0.0040760012, 0.0015601317, 0.015883576, -0.116771534, -0.040611345, 0.0020119478, -0.03926823, 0.003226575, -0.017005851, -0.01154893, -0.037898723, 0.011194381, -0.025536597, 0.011757046, -0.0056318934, -0.005025134, -0.008226839, 0.0068929815, -0.00862177, 0.016322464, 0.0011634297, -0.0031743613, 0.005382503, -0.010872347, 0.00067022856, 0.007274484, 0.031745203, -0.0005854076, -0.00853347, -0.021625618, -0.004177477, 0.008056222, -0.018186158, -0.007128755, -0.12027221, 0.012759572, -0.010713807, 0.0067892796, 0.012166335, -0.016002962, 0.0029910887, -0.017163975, -0.001941857, -0.0044464855, 0.012857501, -0.015989594, -0.029243536, -0.0032312872, -0.013433343, 0.11513997, -0.006082601, -0.014225669, -0.0061849775, -0.010022218, 0.014966843, 0.0129383225, -0.0066213114, -0.018398492, -0.0036790138, -0.007225065, 0.004877427, 0.008003168, -0.014754053, 0.0008903471, -0.0073763826, 0.017930321, -0.0062710075, -0.004658978, 0.013153622, -0.020265354, 0.004027228, -0.0060422034, 0.02273469, 0.0028102351, 0.008720559, 0.011205001, 0.016674744, 0.0042660474, -0.0036003562, 0.0006042871, 0.014501786, 0.010811168, -0.03124812, -0.0064171804, -0.014592872, -0.04663219, -0.0126994215, 0.012467553, 0.017690035, 0.002791651, -0.003566321, 0.013093938, -0.011349879, -0.023903674, -0.015369498, 0.004181785, 0.0040355786, -0.00094402506, -0.011959172, -0.013009145, 0.033526085, -0.010396551, 0.0044258805, 0.004014496, 0.019373694, -0.003400009, 5.348981e-05, 0.025207516, -0.012871507, -0.005512721, -0.022520877, 0.02684387, -0.02313545, -0.0035891715, -0.022172121, 0.002265725, -0.010498664, -0.013236083, 0.0200956, -0.02097232, -0.022621822, -0.008708737, -0.007408379, 0.027155811, 0.011951954, 0.012384446, -0.00031614173, 0.01639649, 0.01059418, 0.010566388, -0.0077797007, -0.019581579, 0.03420594, -0.0009440986, -0.0057661897, -0.009664673, -0.0015045009, 0.00053305825, -0.00064344174, 0.023836963, 0.027716992, 0.0015570676, 0.0546358, 0.0055291955]",Post-transition Metal,Al,13,3,13,26.981539,933.47,2.7,1.18,1.84,2.7e-08,5100.0,71.0,10.0,235.0,2792.0,933.47,,1.175,76.0,70.0,245.0,26.0,2.75,167.0,2700.0,2.31e-05,2P°1/2,"[5.985769, 18.82855, 28.447642, 119.9924, 153.8252, 190.49, 241.76, 284.64, 330.21, 398.65, 442.005, 2085.97702, 2304.14007]"
